Fold,Model,Accuracy,Method,K
3,guass_nb,0.9376,LDA,3
4,SVM,0.9392,LDA,3
4,guass_nb,0.9352,LDA,3
5,SVM,0.9424,LDA,3
5,guass_nb,0.9456,LDA,3
6,SVM,0.9472,LDA,3
6,guass_nb,0.9432,LDA,3
7,SVM,0.9416,LDA,3
7,guass_nb,0.936,LDA,3
8,SVM,0.9344,LDA,3
8,guass_nb,0.932,LDA,3
9,SVM,0.944,LDA,3
9,guass_nb,0.9384,LDA,3
10,SVM,0.9384,LDA,3
10,guass_nb,0.9392,LDA,3
11,SVM,0.9408,LDA,3
11,guass_nb,0.9384,LDA,3
12,SVM,0.948,LDA,3
12,guass_nb,0.9408,LDA,3
13,SVM,0.9392,LDA,3
13,guass_nb,0.9376,LDA,3
14,SVM,0.9352,LDA,3
14,guass_nb,0.936,LDA,3
15,SVM,0.9336,LDA,3
15,guass_nb,0.928,LDA,3
16,SVM,0.948,LDA,3
16,guass_nb,0.9472,LDA,3
17,SVM,0.956,LDA,3
17,guass_nb,0.9536,LDA,3
18,SVM,0.94,LDA,3
18,guass_nb,0.932,LDA,3
19,SVM,0.936,LDA,3
19,guass_nb,0.9296,LDA,3
20,SVM,0.9376,LDA,3
20,guass_nb,0.9344,LDA,3
21,SVM,0.952,LDA,3
21,guass_nb,0.9408,LDA,3
22,SVM,0.936,LDA,3
22,guass_nb,0.9368,LDA,3
23,SVM,0.936,LDA,3
23,guass_nb,0.9264,LDA,3
24,SVM,0.9432,LDA,3
24,guass_nb,0.9384,LDA,3
25,SVM,0.9416,LDA,3
25,guass_nb,0.9384,LDA,3
26,SVM,0.9408,LDA,3
26,guass_nb,0.9432,LDA,3
27,SVM,0.9408,LDA,3
27,guass_nb,0.9392,LDA,3
28,SVM,0.9416,LDA,3
28,guass_nb,0.94,LDA,3
29,SVM,0.9464,LDA,3
29,guass_nb,0.9424,LDA,3
30,SVM,0.9408,LDA,3
30,guass_nb,0.9376,LDA,3
31,SVM,0.9424,LDA,3
31,guass_nb,0.9408,LDA,3
32,SVM,0.9512,LDA,3
32,guass_nb,0.9408,LDA,3
33,SVM,0.9312,LDA,3
33,guass_nb,0.9288,LDA,3
34,SVM,0.9464,LDA,3
34,guass_nb,0.9424,LDA,3
35,SVM,0.9376,LDA,3
35,guass_nb,0.9344,LDA,3
36,SVM,0.9448,LDA,3
36,guass_nb,0.9464,LDA,3
37,SVM,0.9432,LDA,3
37,guass_nb,0.9416,LDA,3
38,SVM,0.944,LDA,3
38,guass_nb,0.9472,LDA,3
39,SVM,0.9392,LDA,3
39,guass_nb,0.9336,LDA,3
40,SVM,0.9416,LDA,3
40,guass_nb,0.9344,LDA,3
41,SVM,0.9328,LDA,3
41,guass_nb,0.928,LDA,3
42,SVM,0.9448,LDA,3
42,guass_nb,0.9448,LDA,3
43,SVM,0.944,LDA,3
43,guass_nb,0.9416,LDA,3
44,SVM,0.944,LDA,3
44,guass_nb,0.9416,LDA,3
45,SVM,0.932,LDA,3
45,guass_nb,0.932,LDA,3
46,SVM,0.948,LDA,3
46,guass_nb,0.94,LDA,3
47,SVM,0.9312,LDA,3
47,guass_nb,0.9208,LDA,3
48,SVM,0.9376,LDA,3
48,guass_nb,0.9288,LDA,3
49,SVM,0.94,LDA,3
49,guass_nb,0.9384,LDA,3
0,SVM,0.9376,LDA,9
0,guass_nb,0.9224,LDA,9
1,SVM,0.9392,LDA,9
1,guass_nb,0.9248,LDA,9
2,SVM,0.9344,LDA,9
2,guass_nb,0.9248,LDA,9
3,SVM,0.9376,LDA,9
3,guass_nb,0.9256,LDA,9
4,SVM,0.9392,LDA,9
4,guass_nb,0.9256,LDA,9
5,SVM,0.9592,LDA,9
5,guass_nb,0.9328,LDA,9
6,SVM,0.9424,LDA,9
6,guass_nb,0.9272,LDA,9
7,SVM,0.9456,LDA,9
7,guass_nb,0.9208,LDA,9
8,SVM,0.9408,LDA,9
8,guass_nb,0.9272,LDA,9
9,SVM,0.9384,LDA,9
9,guass_nb,0.9256,LDA,9
10,SVM,0.9272,LDA,9
10,guass_nb,0.92,LDA,9
11,SVM,0.9424,LDA,9
11,guass_nb,0.9264,LDA,9
12,SVM,0.9416,LDA,9
12,guass_nb,0.9256,LDA,9
13,SVM,0.9528,LDA,9
13,guass_nb,0.9312,LDA,9
14,SVM,0.9424,LDA,9
14,guass_nb,0.9392,LDA,9
15,SVM,0.9336,LDA,9
15,guass_nb,0.9264,LDA,9
16,SVM,0.9432,LDA,9
16,guass_nb,0.9336,LDA,9
17,SVM,0.9376,LDA,9
17,guass_nb,0.9216,LDA,9
18,SVM,0.9448,LDA,9
18,guass_nb,0.9304,LDA,9
19,SVM,0.9336,LDA,9
19,guass_nb,0.92,LDA,9
20,SVM,0.9352,LDA,9
20,guass_nb,0.9288,LDA,9
21,SVM,0.9408,LDA,9
21,guass_nb,0.9288,LDA,9
22,SVM,0.9456,LDA,9
22,guass_nb,0.9296,LDA,9
23,SVM,0.9424,LDA,9
23,guass_nb,0.9208,LDA,9
24,SVM,0.932,LDA,9
24,guass_nb,0.9224,LDA,9
25,SVM,0.9296,LDA,9
25,guass_nb,0.92,LDA,9
26,SVM,0.9432,LDA,9
26,guass_nb,0.9176,LDA,9
27,SVM,0.9416,LDA,9
27,guass_nb,0.932,LDA,9
28,SVM,0.9432,LDA,9
28,guass_nb,0.9304,LDA,9
29,SVM,0.9384,LDA,9
29,guass_nb,0.92,LDA,9
30,SVM,0.9376,LDA,9
30,guass_nb,0.9136,LDA,9
31,SVM,0.9432,LDA,9
31,guass_nb,0.9264,LDA,9
32,SVM,0.9416,LDA,9
32,guass_nb,0.9248,LDA,9
33,SVM,0.9408,LDA,9
33,guass_nb,0.9176,LDA,9
34,SVM,0.936,LDA,9
34,guass_nb,0.9192,LDA,9
35,SVM,0.9408,LDA,9
35,guass_nb,0.9216,LDA,9
36,SVM,0.9544,LDA,9
36,guass_nb,0.9288,LDA,9
37,SVM,0.9376,LDA,9
37,guass_nb,0.9232,LDA,9
38,SVM,0.9512,LDA,9
38,guass_nb,0.932,LDA,9
39,SVM,0.9352,LDA,9
39,guass_nb,0.9224,LDA,9
40,SVM,0.94,LDA,9
40,guass_nb,0.9208,LDA,9
41,SVM,0.9328,LDA,9
41,guass_nb,0.9144,LDA,9
42,SVM,0.9472,LDA,9
42,guass_nb,0.9288,LDA,9
43,SVM,0.9456,LDA,9
43,guass_nb,0.9168,LDA,9
44,SVM,0.9392,LDA,9
44,guass_nb,0.9296,LDA,9
45,SVM,0.9456,LDA,9
45,guass_nb,0.936,LDA,9
46,SVM,0.948,LDA,9
46,guass_nb,0.9248,LDA,9
47,SVM,0.94,LDA,9
47,guass_nb,0.9216,LDA,9
48,SVM,0.9448,LDA,9
48,guass_nb,0.928,LDA,9
49,SVM,0.9424,LDA,9
49,guass_nb,0.9248,LDA,9
