Fold,Model,Accuracy,Method,K
35,guass_nb,0.5472,Univeriate,3
36,SVM,0.7248,Univeriate,3
36,guass_nb,0.5672,Univeriate,3
37,SVM,0.7016,Univeriate,3
37,guass_nb,0.5544,Univeriate,3
38,SVM,0.7048,Univeriate,3
38,guass_nb,0.5504,Univeriate,3
39,SVM,0.7384,Univeriate,3
39,guass_nb,0.5568,Univeriate,3
40,SVM,0.7008,Univeriate,3
40,guass_nb,0.552,Univeriate,3
41,SVM,0.7056,Univeriate,3
41,guass_nb,0.5512,Univeriate,3
42,SVM,0.7256,Univeriate,3
42,guass_nb,0.5552,Univeriate,3
43,SVM,0.7184,Univeriate,3
43,guass_nb,0.532,Univeriate,3
44,SVM,0.7216,Univeriate,3
44,guass_nb,0.5488,Univeriate,3
45,SVM,0.724,Univeriate,3
45,guass_nb,0.5544,Univeriate,3
46,SVM,0.7128,Univeriate,3
46,guass_nb,0.5424,Univeriate,3
47,SVM,0.7288,Univeriate,3
47,guass_nb,0.576,Univeriate,3
48,SVM,0.7128,Univeriate,3
48,guass_nb,0.5272,Univeriate,3
49,SVM,0.704,Univeriate,3
49,guass_nb,0.5416,Univeriate,3
0,SVM,0.9352,Univeriate,9
0,guass_nb,0.916,Univeriate,9
1,SVM,0.944,Univeriate,9
1,guass_nb,0.9248,Univeriate,9
2,SVM,0.9488,Univeriate,9
2,guass_nb,0.9352,Univeriate,9
3,SVM,0.9352,Univeriate,9
3,guass_nb,0.9168,Univeriate,9
4,SVM,0.9304,Univeriate,9
4,guass_nb,0.9176,Univeriate,9
5,SVM,0.9368,Univeriate,9
5,guass_nb,0.9272,Univeriate,9
6,SVM,0.9376,Univeriate,9
6,guass_nb,0.9296,Univeriate,9
7,SVM,0.9464,Univeriate,9
7,guass_nb,0.9384,Univeriate,9
8,SVM,0.9392,Univeriate,9
8,guass_nb,0.9288,Univeriate,9
9,SVM,0.9384,Univeriate,9
9,guass_nb,0.9192,Univeriate,9
10,SVM,0.9384,Univeriate,9
10,guass_nb,0.9224,Univeriate,9
11,SVM,0.9392,Univeriate,9
11,guass_nb,0.932,Univeriate,9
12,SVM,0.9392,Univeriate,9
12,guass_nb,0.932,Univeriate,9
13,SVM,0.94,Univeriate,9
13,guass_nb,0.9232,Univeriate,9
14,SVM,0.9448,Univeriate,9
14,guass_nb,0.9176,Univeriate,9
15,SVM,0.932,Univeriate,9
15,guass_nb,0.928,Univeriate,9
16,SVM,0.9376,Univeriate,9
16,guass_nb,0.9344,Univeriate,9
17,SVM,0.9352,Univeriate,9
17,guass_nb,0.9192,Univeriate,9
18,SVM,0.9472,Univeriate,9
18,guass_nb,0.9256,Univeriate,9
19,SVM,0.9544,Univeriate,9
19,guass_nb,0.9272,Univeriate,9
20,SVM,0.9488,Univeriate,9
20,guass_nb,0.9304,Univeriate,9
21,SVM,0.9336,Univeriate,9
21,guass_nb,0.9248,Univeriate,9
22,SVM,0.944,Univeriate,9
22,guass_nb,0.9296,Univeriate,9
23,SVM,0.94,Univeriate,9
23,guass_nb,0.9336,Univeriate,9
24,SVM,0.9464,Univeriate,9
24,guass_nb,0.936,Univeriate,9
25,SVM,0.9488,Univeriate,9
25,guass_nb,0.9304,Univeriate,9
26,SVM,0.9384,Univeriate,9
26,guass_nb,0.9216,Univeriate,9
27,SVM,0.9368,Univeriate,9
27,guass_nb,0.92,Univeriate,9
28,SVM,0.9344,Univeriate,9
28,guass_nb,0.9224,Univeriate,9
29,SVM,0.9376,Univeriate,9
29,guass_nb,0.9216,Univeriate,9
30,SVM,0.9416,Univeriate,9
30,guass_nb,0.924,Univeriate,9
31,SVM,0.9344,Univeriate,9
31,guass_nb,0.9192,Univeriate,9
32,SVM,0.936,Univeriate,9
32,guass_nb,0.912,Univeriate,9
33,SVM,0.9464,Univeriate,9
